Park,Camp site,Department,County,Trail,Lines,Transit endpoint,Estimated optimal transit time (hours),Hike (miles),Fares,Site fee,Type,Bathroom type,Requires Reservations,Has Available Reservations,Open,Water,Notes,Link
Golden Gate National Recreation Area,Bicentennial,National Park Service,Marin,,GGT 150/130,US-101 Off-Ramp,1.5,4,$9.80,$25.00,,,Yes,Semi,Yes,No,"Maybe free - call or visit the Marin Headlands Visitor Center, https://www.visitmarin.org/site/assets/files/1060/ggnracampinglocations.pdf",https://www.recreation.gov/camping/campgrounds/272229
Golden Gate National Recreation Area,Hawk Camp,National Park Service,Marin,Bay Area Ridge Trail,GGT 150/130,Bay & Bridgeway,1.5,3,$9.80,$25.00,,,Yes,Yes,Yes,No,"Maybe free - call or visit the Marin Headlands Visitor Center, https://www.visitmarin.org/site/assets/files/1060/ggnracampinglocations.pdf",https://www.recreation.gov/camping/campgrounds/258815
Golden Gate National Recreation Area,Haypress,National Park Service,Marin,Bay Area Ridge Trail,GGT 150/130,Pohono St. Park and Ride,1.5,3,$9.80,$25.00,,"Single occupancy pit toilet, no sink or soap",Yes,Yes,Yes,No,"Hiked in from GGB, got 3L water at the Marin Headlands visitor center (center is closed). Took a no-show spot, wasn’t asked for permit",https://www.recreation.gov/camping/campgrounds/10067346
Angel Island SP,Angel Island,California State Parks,Marin,,Angel Island Ferry,,1.5,0,$11.50,$30.00,,,Yes,No,Yes,Yes,https://www.goldengate.org/angel-island-ferry-service-begins-december-13-2021/,https://www.parks.ca.gov/?page_id=468
Presidio of San Francisco,Rob Hill,Presidio Trust,San Francisco,Bay Area Ridge Trail,Muni 29,,0.5,1,$2.50,$87.00,Group camp,,Yes,Yes,Yes,Yes,,https://www.recreation.gov/camping/campgrounds/10172170
Candlestick Point State Recreation Area,Sunrise Point Campground,California State Parks,San Francisco,,Muni 29/K/T,,0.5,0,$2.50,?,Hike & bike,,Yes,No,No,Yes,"Campground not opened due to COVID, unclear if it was ever opened",https://www.parks.ca.gov/?page_id=29924
Sonoma Coast SP,Wright's Beach,California State Parks,Sonoma,,GGT 172/101 - Mendecino Transit 95,Jenner,4,4.5,,$35.00,,,Yes,Semi,Yes,No,Mendocino Transit route 95 runs once a day,http://www.parks.ca.gov/?page_id=451
Sonoma Coast SP,Bodega Dunes HB,California State Parks,Sonoma,,GGT 172/101 - Mendecino Transit 95,Spud Point Marina,3.5,1,,$5.00,Hike & bike,Coin-op showers,No,n/a,Yes,Yes,Mendocino Transit route 95 runs once a day,http://www.parks.ca.gov/?page_id=451
Sonoma Coast SP,Willow Creek,California State Parks,Sonoma,,GGT 172/101 - Mendecino Transit 95,Jenner,4,2.5,,$25.00,Environmental camp,,No,n/a,Yes,No,Mendocino Transit route 95 runs once a day,http://www.parks.ca.gov/?page_id=451
Sonoma Coast SP,Pomo Canyon,California State Parks,Sonoma,,GGT 172/101 - Mendecino Transit 95,Jenner,4,4.5,,$25.00,Environmental camp,,No,n/a,Yes,No,Mendocino Transit route 95 runs once a day,http://www.parks.ca.gov/?page_id=451
Spring Lake Regional Park,Spring Lake Regional Park,Sonoma County Regional Parks,Sonoma,Bay Area Ridge Trail,GGT 101 - Santa Rosa CityBus 8,Summerfield Rd at Mayette Ave,3.5,1.5,,$37.00,Group camp,,Yes,Yes,Yes,Yes,,https://parks.sonomacounty.ca.gov/visit/find-a-park/spring-lake-regional-park
Hood Mountain Regional Park and Open Space Preserve,Merganser Pond,Sonoma County Regional Parks,Sonoma,Bay Area Ridge Trail,,,,-,,$20.00,Environmental camp,Pit toilets,Yes,Yes,Yes,No,Can’t find these on Google maps,https://parks.sonomacounty.ca.gov/visit/find-a-park/hood-mountain-regional-park-and-preserve
Hood Mountain Regional Park and Open Space Preserve,Azalea Creek,Sonoma County Regional Parks,Sonoma,Bay Area Ridge Trail,,,,-,,$20.00,Environmental camp,Pit toilets,Yes,No,No,No,Can’t find these on Google maps,https://parks.sonomacounty.ca.gov/visit/find-a-park/hood-mountain-regional-park-and-preserve
Westside Regional Park,Westside,Sonoma County Regional Parks,Sonoma,,GGT 172/101 - Mendecino Transit 95,Hwy 1 & Tides Inn - Bodega Bay,3.5,0.5,,$37.00,,,Yes,Yes,Yes,Yes,Mendocino Transit route 95 runs once a day,https://parks.sonomacounty.ca.gov/visit/find-a-park/westside-regional-park
Doran Regional Park,Doran Beach,Sonoma County Regional Parks,Sonoma,,GGT 172/101 - Mendecino Transit 95,Hwy 1 & Tides Inn - Bodega Bay,3.5,2,,-,Hike & bike,,No,n/a,Yes,Yes,Mendocino Transit route 95 runs once a day,https://parks.sonomacounty.ca.gov/visit/find-a-park/doran-regional-park
Gualala Point Regional Park,Gualala Point,Sonoma County Regional Parks,Sonoma,,GGT 172/101 - Mendecino Transit 95,Sundstrom Mall,5,?,,-,Hike & bike,,No,n/a,Yes,Yes,Mendocino Transit route 95 runs once a day,https://parks.sonomacounty.ca.gov/visit/find-a-park/gualala-point-regional-park
Stillwater Cove Regional Park,Stillwater Campground,Sonoma County Regional Parks,Sonoma,,GGT 172/101 - Mendecino Transit 95,Fort Ross Store,4.5,2.5,,-,Hike & bike,,No,n/a,Yes,Non-potable,Mendocino Transit route 95 runs once a day,https://parks.sonomacounty.ca.gov/visit/find-a-park/stillwater-cove-regional-park
Bothe-Napa Valley SP,Ritchey Creek Campground,California State Parks,Napa,,BART Red-N - Vine Transit 29 - VT 10,Bothe State Park North,4,0,$14.90,$6.00,Hike & bike,Coin-op showers,No,n/a,Yes,Yes,HB info at https://www.reservecalifornia.com/Web/#!park/620/782,https://www.parks.ca.gov/?page_id=477
Skyline Wilderness Park,Skyline Wilderness Park,,Napa,Bay Area Ridge Trail,,,,-,,$45.00,,Flush toilets and showers,?,Yes,Yes,Yes,,https://www.skylinepark.org/activities/camping/
Brannan Island State Recreation Area,Cottonwood Campground,California State Parks,Solano,,BART Yellow-N - TriDelta Transit 383/391,"East 18th St & Drive In Way, Antioch, CA 94509",2.5,9,,?,Hike & bike,,No,n/a,No,Yes,"Closed until further notice. Google maps cannot find pedestrian route, but Antioch bridge is allegedly passable",https://www.parks.ca.gov/?page_id=487
Clear Lake State Park,Cole Creek Campground,California State Parks,Lake County,,Greyhound (Ukiah) - Lake Transit 7 - LT 4,Main & Fourth,7,5,,?,Hike & bike,,No,n/a,Yes,Yes,,https://www.parks.ca.gov/?page_id=473
Half Moon Bay State Beach,Francis Beach,California State Parks,San Mateo,,SamTrans 110 - SamTrans 17,Hwy 1 & Spindrift Way,2.5,1,$5.00,$7.00,Hike & bike,Coin-op showers,No,Yes,Yes,Yes,"“Hike and bike camping is available on a first come, first served basis in person at Francis Entrance Station beginning at 2 pm.” - https://www.parks.ca.gov/?page_id=30736",https://www.parks.ca.gov/?page_id=531
Huddart Park,Toyon,County of San Mateo Parks Department,San Mateo,Bay Area Ridge Trail,Caltrain - SamTrans 278,Cañada College,3,3,$10.95,?,Group camp,,Yes,No,No,,,https://parks.smcgov.org/toyon-campground
Memorial Park,Azalea Flat & Sequoia Flat,County of San Mateo Parks Department,San Mateo,,,,,-,,$30.00,Family camping,,Yes,Semi,Yes,,Closed until july 2022,https://parks.smcgov.org/family-camping-memorial-park
Mount Diablo SP,Juniper Campground,California State Parks,Contra Costa,,BART Yellow-N - County Connection 21 - CC 623,"Stone Valley Rd And Monte Vista High, Alamo, CA 94526",2.5,7,,$30.00,Family camping,,Yes,Yes,Yes,Yes,Website says hike/bike camping is available but I couldn’t find more info,https://www.parks.ca.gov/?page_id=517
Mount Diablo SP,Live Oak Campground,California State Parks,Contra Costa,,BART Yellow-N - County Connection 21 - CC 623,"Stone Valley Rd And Monte Vista High, Alamo, CA 94526",2.5,5.5,,$30.00,Family camping,,Yes,Yes,Yes,Yes,Website says hike/bike camping is available but I couldn’t find more info,https://www.parks.ca.gov/?page_id=517
Mount Diablo SP,Junction Campground,California State Parks,Contra Costa,,BART Yellow-N - County Connection 21 - CC 623,"Stone Valley Rd And Monte Vista High, Alamo, CA 94526",2.5,5.5,,$30.00,Family camping,,No,n/a,Yes,Yes,Website says hike/bike camping is available but I couldn’t find more info,https://www.parks.ca.gov/?page_id=517
Anthony Chabot,Two Rocks,East Bay Regional Park District,Alameda,,BART Green-N,"Concord, CA 94521",3.5,6.5,$7.60,$5.00,Trail camp,,Yes,Yes,Yes,Yes,"call 888-327-2757, option 2. This site cannot be reserved online.",https://www.ebparks.org/parks/anthony-chabot
Black Diamond Mines,Stewartville,East Bay Regional Park District,Alameda,,BART - TriDelta 390,Contra Loma Blvd & St. Francis Dr SB,2.5,6.5,,$5.00,Trail camp,,Yes,Yes,Yes,Non-potable,,https://www.ebparks.org/recreation/camping/backpack-camping-faqs#bd
Mission Peak,Eagle Springs,East Bay Regional Park District,Alameda,"Ohlone Wilderness Trail, Bay Area Ridge Trail",BART Green-N,Warm Springs BART,2,5,$9.60,$5.00,Trail camp,,Yes,Yes,Yes,Non-potable,,https://www.ebparks.org/parks/mission-peak
Ohlone Wilderness,Boyd Camp,East Bay Regional Park District,Alameda,Ohlone Wilderness Trail,,,,-,,$5.00,Trail camp,,Yes,Yes,Yes,Non-potable,,https://www.ebparks.org/parks/ohlone
Ohlone Wilderness,Stewarts Camp,East Bay Regional Park District,Alameda,Ohlone Wilderness Trail,,,,-,,$5.00,Trail camp,,Yes,Yes,Yes,Non-potable,,https://www.ebparks.org/parks/ohlone
Ohlone Wilderness,Maggie’s ½ Acre,East Bay Regional Park District,Alameda,Ohlone Wilderness Trail,,,,-,,$5.00,Trail camp,,Yes,Yes,Yes,Non-potable,,https://www.ebparks.org/parks/ohlone
Sunol Wilderness Regional Preserve,Sunol Backpack Camp,East Bay Regional Park District,Alameda,Ohlone Wilderness Trail,,,,-,,$5.00,Trail camp,,Yes,Yes,Yes,Non-potable,,https://www.ebparks.org/parks/sunol
Morgan Territory Regional Preserve,Morgan Territory,East Bay Regional Park District,Alameda,,-,,,-,,$5.00,Trail camp,,Yes,Yes,Yes,Non-potable,Inaccessible,https://www.ebparks.org/parks/morgan-territory
Sibley Volcanic,Sibley Backpack Camp,East Bay Regional Park District,Alameda,Bay Area Ridge Trail,BART Yellow-N,Orinda BART,1.5,-,$7.40,$5.00,Trail camp,,Yes,Yes,Yes,Yes,Water 0.2 mi away,https://www.ebparks.org/parks/sibley-volcanic
Round Valley,Round Valley,East Bay Regional Park District,Alameda,,-,,,-,,$5.00,Trail camp,,Yes,Yes,Yes,Non-potable,,https://www.ebparks.org/parks/round-valley
Point Pinole,Point Pinole,East Bay Regional Park District,Alameda,,BART Yellow-N - BART Orange-N - ACT 71,Point Pinole Business Park,2.5,1.5,$9.80,?,Group camp,,Yes,Yes,Yes,Yes,"Group camp. call 888-327-2757, option 3, extension 4551",https://www.ebparks.org/parks/point-pinole
Dumbarton Quarry,Dumbarton Quarry,East Bay Regional Park District,Alameda,,BART Green-N,Union City BART,2,8,,$45.00,Group camp,,Yes,Yes,Yes,Yes,,https://www.ebparks.org/parks/dumbarton-quarry/campground
Garin Regional Park,Arroyo Flats,East Bay Regional Park District,Alameda,Bay Area Ridge Trail,BART Green-N - ACT 60,Old Hilary Rd & CSU East Bay Student Services,2.5,?,,?,Group camp,,Yes,?,?,,No info on ebparks website,https://www.reserveamerica.com/explore/garin-regional-park/EB/110454/1154/campsite-booking
Pescadero Creek Park,Shaw Flat Trail Camp,County of San Mateo Parks Department,San Mateo,,Caltrain - Hwy 17 Express - Santa Cruz Metro 35,"Hwy 9 & Sylvan Ave, California 95006",5.5,12,,$10.00,Trail camp,Vault toilet,No,n/a,Yes,No,"“A permit is required, which has a fee of $10 per night, and can be obtained at the Memorial Park Ranger Station” - https://parks.smcgov.org/pescadero-creek-park-activities",https://parks.smcgov.org/shaw-flat-trail
Pescadero Creek Park,Tarwater Trail Camp,County of San Mateo Parks Department,San Mateo,,Caltrain - Hwy 17 Express - Santa Cruz Metro 35,"Hwy 9 & Sylvan Ave, California 95006",5.5,10,,$10.00,Trail camp,Vault toilet,No,n/a,Yes,No,"“A permit is required, which has a fee of $10 per night, and can be obtained at the Memorial Park Ranger Station” - https://parks.smcgov.org/pescadero-creek-park-activities",https://parks.smcgov.org/tarwater-loop-trail
Foothills Nature Preserve,Towle,City of Palo Alto,Santa Clara,,Caltrain - VTA 40,Foothill College,3,4.5,,$41.00,,,Yes,,Yes,Yes,,https://www.cityofpaloalto.org/Departments/Community-Services/Open-Space-Parks/Open-Space-Preserves/Foothills-Nature-Preserve/Towle-Campground
Monte Bello Preserve,Black Mountain,Midpeninsula Regional Open Space Distrct,Santa Clara,,Caltrain - VTA 40,Foothill College,3,6,,$2.00,Trail camp,,Yes,Yes,Yes,Non-potable,Hike in mostly on trail,https://www.openspace.org/where-to-go/permits/camping
Sanborn County Park,Sanborn Park campground,Santa Clara County Parks,Santa Clara,Bay Area Ridge Trail,Caltrain - VTA 51,Saratoga & Saratoga-Los Gatos,3.5,4,,$18.00,Family camping,,Yes,Yes,Yes,Yes,,https://parks.sccgov.org/santa-clara-county-parks/sanborn-county-park
Joseph D. Grant County Park,Halls Valley/Snell,Santa Clara County Parks,Santa Clara,Bay Area Ridge Trail,BART Green-N - VTA 77 - VTA 39,Murillo & Quimby,3.5,?,,$34.00,Family camping,,Yes,Yes,Yes,Yes,Google maps can’t complete directions,https://parks.sccgov.org/santa-clara-county-parks/joseph-d-grant-county-park
Mt. Madonna County Park,Tan Oak/Valley View,Santa Clara County Parks,Santa Clara,Bay Area Ridge Trail,,,,-,,$34.00,Family camping,,Yes,Yes,Yes,Yes,,https://parks.sccgov.org/santa-clara-county-parks/Mt.Madonna-county-park
Coyote Lake Harvey Bear Ranch County Park,Lakeview,Santa Clara County Parks,Santa Clara,Bay Area Ridge Trail,,,,-,,$34.00,Family camping,,Yes,Yes,Yes,Yes,,https://parks.sccgov.org/santa-clara-county-parks/coyote-lake-harvey-bear-ranch-park
Henry W. Coe SP,Dispersed,California State Parks,Santa Clara,,-,Morgan Hill Caltrain,,13,,$5.00,,,No,n/a,Yes,,,"http://parks.ca.gov/?page_id=561, https://coepark.net/activities/backpacking"
Butano SP,Butano Trail Camp,California State Parks,Santa Cruz,,,,,-,,$15.00,Trail camp,,Yes,No,No,Non-potable,Closed,https://www.parks.ca.gov/?page_id=26658
Big Basin Redwoods SP,Lane Trail Camp,California State Parks,Santa Cruz,,,,,-,,$15.00,Trail camp,,Yes,No,No,Non-potable,Closed,https://www.parks.ca.gov/?page_id=26658
Big Basin Redwoods SP,Adler Trail Camp,California State Parks,Santa Cruz,,,,,-,,$15.00,Trail camp,,Yes,No,No,Non-potable,Closed,https://www.parks.ca.gov/?page_id=26658
Big Basin Redwoods SP,Twin Redwoods,California State Parks,Santa Cruz,,,,,-,,$15.00,Trail camp,,Yes,No,No,Non-potable,Closed,https://www.parks.ca.gov/?page_id=26658
Big Basin Redwoods SP,Sunset Trail Camp,California State Parks,Santa Cruz,,,,,-,,$15.00,Trail camp,,Yes,No,No,Non-potable,Closed,https://www.parks.ca.gov/?page_id=26658
Portola Redwoods SP,Slate Creek Trail camp,California State Parks,Santa Cruz,Bay Area Ridge Trail,Caltrain - Hwy 17 Express - Santa Cruz Metro 35,"Hwy 9 & Sylvan Ave, California 95006",5.5,11,,$15.00,Trail camp,,Yes,Yes,Yes,Non-potable,Water from creek,https://www.parks.ca.gov/?page_id=29736
Portola Redwoods SP,Huckleberry,California State Parks,Santa Cruz,Bay Area Ridge Trail,,,,-,,?,Hike & bike,,No,n/a,No,Is this in Big Basin or Portola Redwoods SP?,Likely closed due to fire,https://www.parks.ca.gov/?page_id=29736
Castle Rock SP,Castle Rock Trail Camp,California State Parks,Santa Cruz,Bay Area Ridge Trail,Caltrain - VTA 51,Saratoga & Saratoga-Los Gatos,3.5,10,,$15.00,Trail camp,,Yes,Yes,Yes,No,,https://www.parks.ca.gov/?page_id=26658
Castle Rock SP,Waterman Gap,California State Parks,Santa Cruz,,Caltrain - Hwy 17 Express - Santa Cruz Metro 35,"Hwy 9 & Sylvan Ave, California 95006",5.5,3,,$15.00,Trail camp,,Yes,Yes,Yes,No,Greyhound is a more realistic option,https://www.parks.ca.gov/?page_id=26658
Henry Cowell Redwoods SP,Graham Hill Campground,California State Parks,Santa Cruz,,Greyhound - Santa Cruz Metro 35,"Mt Hermon Rd & Whispering Pines Dr, Scotts Valley, CA 95066",6,3,,$35.00,,,No,,Yes,Yes,Timing does not seem to work with Hwy 17 Exp; allegedly has HB sites (a “bike campground” appears on the map here: https://www.parks.ca.gov/pages/546/files/HenryCowell_CampMap2013.pdf),https://www.parks.ca.gov/?page_id=29725
Yosemite,Camp 4,National Park Service,,,Amtrak/Greyhound - YARTS,,7,0.5,$28.50,$10.00,,,Seasonal,,Yes,Yes,,https://www.nps.gov/yose/planyourvisit/camp4.htm
